store,address,date,review_cnt
Starbucks 甄选(静安嘉里中心f1店),上海静安区南京西路1515号嘉里中心商场e1-03,10/11/2025,20
Starbucks 甄选(静安嘉里中心f1店),上海静安区南京西路1515号嘉里中心商场e1-03,10/10/2025,12
Starbucks 甄选(静安嘉里中心f1店),上海静安区南京西路1515号嘉里中心商场e1-03,10/09/2025,16
Starbucks 甄选(静安嘉里中心f1店),上海静安区南京西路1515号嘉里中心商场e1-03,10/08/2025,19
Starbucks 甄选(静安嘉里中心f1店),上海静安区南京西路1515号嘉里中心商场e1-03,10/07/2025,8
Starbucks 甄选(静安嘉里中心f1店),上海静安区南京西路1515号嘉里中心商场e1-03,10/06/2025,9
Starbucks 甄选(美罗城店),上海徐汇区肇家兵路1111号219单元,10/11/2025,46
Starbucks 甄选(美罗城店),上海徐汇区肇家兵路1111号219单元,10/10/2025,32
Starbucks 甄选(美罗城店),上海徐汇区肇家兵路1111号219单元,10/09/2025,30
Starbucks 甄选(美罗城店),上海徐汇区肇家兵路1111号219单元,10/08/2025,26
Starbucks 甄选(美罗城店),上海徐汇区肇家兵路1111号219单元,10/07/2025,28
Starbucks 甄选(美罗城店),上海徐汇区肇家兵路1111号219单元,10/06/2025,38
Starbucks 甄选(世茂广场店),上海黄浦区南京东路829号G05商铺,10/11/2025,11
Starbucks 甄选(世茂广场店),上海黄浦区南京东路829号G05商铺,10/10/2025,20
Starbucks 甄选(世茂广场店),上海黄浦区南京东路829号G05商铺,10/09/2025,16
Starbucks 甄选(世茂广场店),上海黄浦区南京东路829号G05商铺,10/08/2025,14
Starbucks 甄选(世茂广场店),上海黄浦区南京东路829号G05商铺,10/07/2025,15
Starbucks 甄选(世茂广场店),上海黄浦区南京东路829号G05商铺,10/06/2025,12
Starbucks 甄选(莘庄仲盛店),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/11/2025,12
Starbucks 甄选(莘庄仲盛店),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/10/2025,6
Starbucks 甄选(莘庄仲盛店),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/09/2025,4
Starbucks 甄选(莘庄仲盛店),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/08/2025,7
Starbucks 甄选(莘庄仲盛店),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/07/2025,9
Starbucks 甄选(莘庄仲盛店),上海闵行区都市路5001号仲盛世界商城1层GF12商铺,10/06/2025,8
Starbucks 甄选(白玉兰广场1F店),东长治路588号白玉兰广场商场1楼16号商铺,10/11/2025,19
Starbucks 甄选(白玉兰广场1F店),东长治路588号白玉兰广场商场1楼16号商铺,10/10/2025,20
Starbucks 甄选(白玉兰广场1F店),东长治路588号白玉兰广场商场1楼16号商铺,10/09/2025,20
Starbucks 甄选(白玉兰广场1F店),东长治路588号白玉兰广场商场1楼16号商铺,10/08/2025,22
Starbucks 甄选(白玉兰广场1F店),东长治路588号白玉兰广场商场1楼16号商铺,10/07/2025,23
Starbucks 甄选(白玉兰广场1F店),东长治路588号白玉兰广场商场1楼16号商铺,10/06/2025,11
Starbucks 臻选(上海淮海百盛购物中心店),淮海中路918号,10/11/2025,13
Starbucks 臻选(上海淮海百盛购物中心店),淮海中路918号,10/10/2025,15
Starbucks 臻选(上海淮海百盛购物中心店),淮海中路918号,10/09/2025,13
Starbucks 臻选(上海淮海百盛购物中心店),淮海中路918号,10/08/2025,15
Starbucks 臻选(上海淮海百盛购物中心店),淮海中路918号,10/07/2025,14
Starbucks 臻选(上海淮海百盛购物中心店),淮海中路918号,10/06/2025,11
% Arabica阿拉比卡咖啡(武康路店),上海徐汇区武康路376号武康庭1楼112,10/11/2025,15
% Arabica阿拉比卡咖啡(武康路店),上海徐汇区武康路376号武康庭1楼112,10/10/2025,31
% Arabica阿拉比卡咖啡(武康路店),上海徐汇区武康路376号武康庭1楼112,10/09/2025,33
% Arabica阿拉比卡咖啡(武康路店),上海徐汇区武康路376号武康庭1楼112,10/08/2025,15
% Arabica阿拉比卡咖啡(武康路店),上海徐汇区武康路376号武康庭1楼112,10/07/2025,9
% Arabica阿拉比卡咖啡(武康路店),上海徐汇区武康路376号武康庭1楼112,10/06/2025,9
% Arabica阿拉比卡咖啡(虹桥机场T2店),上海申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/11/2025,60
% Arabica阿拉比卡咖啡(虹桥机场T2店),上海申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/10/2025,43
% Arabica阿拉比卡咖啡(虹桥机场T2店),上海申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/09/2025,43
% Arabica阿拉比卡咖啡(虹桥机场T2店),上海申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/08/2025,33
% Arabica阿拉比卡咖啡(虹桥机场T2店),上海申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/07/2025,24
% Arabica阿拉比卡咖啡(虹桥机场T2店),上海申达三路上海虹桥国际机场2号航站楼3楼出发层控制区南三角D50-27A号商铺,10/06/2025,19
% Arabica阿拉比卡咖啡(建国西路店),上海建国西路481号,10/11/2025,3
% Arabica阿拉比卡咖啡(建国西路店),上海建国西路481号,10/10/2025,5
% Arabica阿拉比卡咖啡(建国西路店),上海建国西路481号,10/09/2025,22
% Arabica阿拉比卡咖啡(建国西路店),上海建国西路481号,10/08/2025,6
% Arabica阿拉比卡咖啡(建国西路店),上海建国西路481号,10/07/2025,4
% Arabica阿拉比卡咖啡(建国西路店),上海建国西路481号,10/06/2025,3
% Arabica阿拉比卡咖啡(上海西岸中環店),上海瑞宁路238号（星美术馆对面）,10/11/2025,12
% Arabica阿拉比卡咖啡(上海西岸中環店),上海瑞宁路238号（星美术馆对面）,10/10/2025,23
% Arabica阿拉比卡咖啡(上海西岸中環店),上海瑞宁路238号（星美术馆对面）,10/09/2025,9
% Arabica阿拉比卡咖啡(上海西岸中環店),上海瑞宁路238号（星美术馆对面）,10/08/2025,18
% Arabica阿拉比卡咖啡(上海西岸中環店),上海瑞宁路238号（星美术馆对面）,10/07/2025,13
% Arabica阿拉比卡咖啡(上海西岸中環店),上海瑞宁路238号（星美术馆对面）,10/06/2025,30
% Arabica阿拉比卡咖啡(比斯特上海购物村店),上海申迪东路88号比斯特上海购物村月牙畔1308号,10/11/2025,30
% Arabica阿拉比卡咖啡(比斯特上海购物村店),上海申迪东路88号比斯特上海购物村月牙畔1308号,10/10/2025,33
% Arabica阿拉比卡咖啡(比斯特上海购物村店),上海申迪东路88号比斯特上海购物村月牙畔1308号,10/09/2025,30
% Arabica阿拉比卡咖啡(比斯特上海购物村店),上海申迪东路88号比斯特上海购物村月牙畔1308号,10/08/2025,17
% Arabica阿拉比卡咖啡(比斯特上海购物村店),上海申迪东路88号比斯特上海购物村月牙畔1308号,10/07/2025,31
% Arabica阿拉比卡咖啡(比斯特上海购物村店),上海申迪东路88号比斯特上海购物村月牙畔1308号,10/06/2025,41
